आजको खबर के छ?	What's the news today?
यो प्यान्ट 75 रुपिया को हो।	This pants costs 75 rupees.
प्यान्ट को गुणस्तर कस्तो छ?	What is the quality of this pants?
मलाई सस्तो प्यान्ट चाहिए।	I need a cheaper pants.
यो प्यान्ट कति को हो?	How much is this pants?
यो प्यान्ट 100 रुपिया को हो।	This pants costs 100 rupees.
प्यान्ट को गुणस्तर कस्तो छ?	What is the quality of this pants?
मलाई सस्तो प्यान्ट चाहिए।	I need a cheaper pants.
यो प्यान्ट कति को हो?	How much is this pants?
यो प्यान्ट 150 रुपिया को हो।	This pants costs 150 rupees.
प्यान्ट को गुणस्तर कस्तो छ?	What is the quality of this pants?
मलाई सस्तो प्यान्ट चाहिए।	I need a cheaper pants.
यो प्यान्ट कति को हो?	How much is this pants?
यो प्यान्ट 200 रुपिया को हो।	This pants costs 200 rupees.
प्यान्ट को गुणस्तर कस्तो छ?	What is the quality of this pants?
मलाई सस्तो प्यान्ट चाहिए।	I need a cheaper pants.
यो प्यान्ट कति को हो?	How much is this pants?
यो प्यान्ट 250 रुपिया को हो।	This pants costs 250 rupees.
प्यान्ट को गुणस्तर कस्तो छ?	What is the quality of this pants?
मलाई सस्तो प्यान्ट चाहिए।	I need a cheaper pants.
यो प्यान्ट कति को हो?	How much is this pants?
यो प्यान्ट 300 रुपिया को हो।	This pants costs 300 rupees.
प्यान्ट को गुणस्तर कस्तो छ?	What is the quality of this pants?
मलाई सस्तो प्यान्ट चाहिए।	I need a cheaper pants.
यो प्यान्ट कति को हो?	How much is this pants?
यो प्यान्ट 400 रुपिया को हो।	This pants costs 400 rupees.
प्यान्ट को गुणस्तर कस्तो छ?	What is the quality of this pants?
मलाई सस्तो प्यान्ट चाहिए।	I need a cheaper pants.
यो प्यान्ट कति को हो?	How much is this pants?
यो प्यान्ट 500 रुपिया को हो।	This pants costs 500 rupees.
प्यान्ट को गुणस्तर कस्तो छ?	What is the quality of this pants?
मलाई सस्तो प्यान्ट चाहिए।	I need a cheaper pants.
यो प्यान्ट कति को हो?	How much is this pants?
यो प्यान्ट 750 रुपिया को हो।	This pants costs 750 rupees.
प्यान्ट को गुणस्तर कस्तो छ?	What is the quality of this pants?
मलाई सस्तो प्यान्ट चाहिए।	I need a cheaper pants.
यो प्यान्ट कति को हो?	How much is this pants?
यो प्यान्ट 1000 रुपिया को हो।	This pants costs 1000 rupees.
प्यान्ट को गुणस्तर कस्तो छ?	What is the quality of this pants?
मलाई सस्तो प्यान्ट चाहिए।	I need a cheaper pants.
यो प्यान्ट कति को हो?	How much is this pants?
यो प्यान्ट 1500 रुपिया को हो।	This pants costs 1500 rupees.
प्यान्ट को गुणस्तर कस्तो छ?	What is the quality of this pants?
मलाई सस्तो प्यान्ट चाहिए।	I need a cheaper pants.
यो प्यान्ट कति को हो?	How much is this pants?
यो प्यान्ट 2000 रुपिया को हो।	This pants costs 2000 rupees.
प्यान्ट को गुणस्तर कस्तो छ?	What is the quality of this pants?
मलाई सस्तो प्यान्ट चाहिए।	I need a cheaper pants.
यो प्यान्ट कति को हो?	How much is this pants?
यो प्यान्ट 3000 रुपिया को हो।	This pants costs 3000 rupees.
प्यान्ट को गुणस्तर कस्तो छ?	What is the quality of this pants?
मलाई सस्तो प्यान्ट चाहिए।	I need a cheaper pants.
यो पहेली कति को हो?	How much is this belt?
यो पहेली 50 रुपिया को हो।	This belt costs 50 rupees.
पहेली को गुणस्तर कस्तो छ?	What is the quality of this belt?
मलाई सस्तो पहेली चाहिए।	I need a cheaper belt.
यो पहेली कति को हो?	How much is this belt?
यो पहेली 75 रुपिया को हो।	This belt costs 75 rupees.
पहेली को गुणस्तर कस्तो छ?	What is the quality of this belt?
